Country Code,Country Name,Continent Code,AG.LND.ARBL.ZS,AG.LND.PRCP.MM,BN.CAB.XOKA.GD.ZS,CM.MKT.LCAP.GD.ZS,EG.GDP.PUSE.KO.PP,EN.POP.DNST,FB.BNK.CAPA.ZS,FR.INR.RINR,GC.NLD.TOTL.GD.ZS,IC.FRM.BRIB.ZS,IC.IMP.TMDC
ABW,Aruba,NO,11.11111111,0,4.112396887,0,0,579.6722222,0,4.85974943,0,0,0
AFG,Afghanistan,AS,11.89382103,327,-23.3242057,0,0,52.7120715,9.232693676,12.25254816,-1.280440385,46.8,336
AGO,Angola,AF,3.930376193,1010,-8.841138892,0,0,22.3665525,8.4217787,21.1441877,-6.116515006,51.3,180
ALB,Albania,EU,22.44890422,1485,-8.602151171,0,0,105.135146,9.5261376,8.128115421,-3.028362826,19.5,8
AND,Andorra,EU,1.72340426,0,0,0,0,165.9808511,0,0,0,0,0
ARE,United Arab Emirates,AS,0.620951823,78,0,56.64348004,0,130.4266404,0,0,-0.006872139,0,12
ARG,Argentina,SA,14.323873,591,-2.962926665,9.438368633,0,15.76063274,12.28069272,2.962560157,-3.390110347,10.3,336
ARM,Armenia,EU,15.69020064,562,-2.581436633,0,0,102.75915,14.68498186,16.18000967,-4.700368854,15.5,2
ASM,American Samoa,OC,15,0,0,0,0,279.06,0,0,0,0,0
ATG,Antigua and Barbuda,NO,9.090909091,1030,3.812774038,0,0,212.65,5.641336193,7.227653731,0,6.9,109
AUS,Australia,OC,6.004191453,534,-4.244342332,87.83320766,8.437590541,3.100112596,5.9651012,6.32118231,-2.640126275,0,4
AUT,Austria,EU,16.31181619,1110,1.737140376,25.16447132,13.12467987,104.7307927,7.446891279,0,-1.168743802,0,1
AZE,Azerbaijan,EU,23.44095904,447,-0.419212868,0,0,116.7310795,0,28.8900714,-2.723606613,52,41
BDI,Burundi,AF,46.72897196,1274,-12.02307825,0,0,395.6397975,13.45261723,-4.949044593,0,30.3,180
BEL,Belgium,EU,27.39431968,847,-1.030761289,90.92338122,9.725773739,372.3314399,6.783034374,0,-1.121763491,0,1
BEN,Benin,AF,23.94466123,1039,-8.982111106,0,0,93.79169918,0,5.074575683,0,34.5,131
BFA,Burkina Faso,AF,21.92982456,748,-8.590209826,0,0,66.19380117,0,8.48848406,-2.376814855,9.8,96
BGD,Bangladesh,AS,59.40109268,2666,1.322349027,0,0,1200.401598,5.433619328,5.512657108,-1.338073112,47.7,144
BGR,Bulgaria,EU,32.32958688,608,-0.037987053,0,0,66.120035,12.01590157,5.129609898,-0.735261111,10.9,1
BHR,Bahrain,AS,2.05655522,83,-2.416353968,61.84913614,0,1763.304558,0,16.03106567,0,0,84
BHS,The Bahamas,NO,0.799200799,1292,-10.20297434,0,0,37.38321678,0,-1.65014612,-2.459927241,21,54
