Country Code,Country Name,Continent Code,BN.CAB.XOKA.GD.ZS,EG.ELC.ACCS.ZS,IC.FRM.BRIB.ZS,IT.NET.USER.ZS
,,,Current account balance (% of GDP),Access to electricity (% of population),Bribery incidence (% of firms experiencing at least one bribe payment request),Individuals using the Internet (% of population)
AFG,Afghanistan,AS,-23.3242057,71.5,46.8,8.26
AGO,Angola,AF,-8.841138892,42,51.3,12.4
ALB,Albania,EU,-8.602151171,100,19.5,63.2529327
ARG,Argentina,SA,-2.962926665,99.82357788,10.3,68.04306411
ARM,Armenia,EU,-2.581436633,100,15.5,59.10237771
ATG,Antigua and Barbuda,NO,3.812774038,100,6.9,70
AUS,Australia,OC,-4.244342332,100,,84.56051935
AUT,Austria,EU,1.737140376,100,,83.94014193
AZE,Azerbaijan,EU,-0.419212868,100,15.9,77
BDI,Burundi,AF,-12.02307825,8.470917702,30.3,4.866224464
BEL,Belgium,EU,-1.030761289,100,,85.0529
BEN,Benin,AF,-8.982111106,40.16017151,14.5,11.25498791
BFA,Burkina Faso,AF,-8.590209826,21.78934479,9.8,11.38764617
BGD,Bangladesh,AS,1.322349027,73.17420197,47.7,14.4
BGR,Bulgaria,EU,-0.037987053,100,8.9,56.6563
BHR,Bahrain,AS,-2.416353968,100,,93.47830114
BHS,The Bahamas,NO,-10.20297434,100,21,78
BIH,Bosnia and Herzegovina,EU,-5.287987947,100,10.2,52.6
BLR,Belarus,EU,-3.243306376,100,8.9,67.3
BLZ,Belize,NO,-9.914071134,91.8,6.2,41.59
BOL,Bolivia,SA,-5.867265942,91.522822,9.1,35.56227065
BRA,Brazil,SA,-3.0225173,99.710902,11.7,58.32795173
BRN,Brunei,AS,16.67891679,100,,71.2
BTN,Bhutan,AS,-26.62022811,95.64605713,0.9,39.8
BWA,Botswana,AF,5.63621382,58.35322952,8.4,37.31205037
CAF,Central African Republic,AF,,24.23072624,21,3.8
CAN,Canada,NO,-3.568961453,100,,88.47
CHE,Switzerland,EU,11.24665494,100,,87.4790556
CHL,Chile,SA,-2.315305345,99.714844,1.3,76.63
CHN,China,AS,2.761229869,100,11.6,50.3
CIV,Côte d'Ivoire,AF,-0.607561626,63.31294632,19.3,38.44
CMR,Cameroon,AF,-3.794834536,58.81427383,26.7,20.68014766
COD,Dem. Rep. Congo,AF,-3.913104488,16.83399773,56.5,3.799999507
COG,Congo,AF,-54.11698729,60.4,37.5,7.615974662
COL,Colombia,SA,-6.325481023,98.186898,2.2,55.90497251
CPV,Cabo Verde,AF,-3.168414855,88.37818909,2,42.68
CRI,Costa Rica,NO,-3.507490633,99.409804,8.7,59.76295014
CUB,Cuba,NO,,99.26876068,,37.30509742
CUW,Curaçao,NO,-16.47701404,100,,0
CYP,Cyprus,EU,-1.422226775,100,,71.7159
CZE,Czech Republic,EU,0.246743987,100,3.5,75.6688387
DEU,Germany,EU,8.520507305,100,,84.39550077
DJI,Djibouti,AF,-18.46469979,57.5490799,11.1,11.92243143
DMA,Dominica,NO,-6.812461586,99.91248322,5.8,65
DNK,Denmark,EU,8.244292946,100,,96.3305
DOM,Dominican Republic,NO,-1.86084458,98.560364,12.3,54.21576634
DZA,Algeria,AF,-16.28976556,99.94306946,,38.2
ECU,Ecuador,SA,-2.239232859,98.825883,1.7,48.94043379
EGY,Egypt,AF,-5.182867908,100,15.2,37.81938343
ERI,Eritrea,AF,,45.87916565,,1.083733116
ESP,Spain,EU,1.148847657,100,,78.6896
EST,Estonia,EU,1.832635617,100,,87.23733209
ETH,Ethiopia,AF,-11.6514616,29,6.5,13.85517556
FIN,Finland,EU,-0.722132815,100,,86.42213333
FJI,Fiji,OC,-3.802671809,95.21701813,10.5,42.5
FRA,France,EU,-0.374464352,100,,78.01
GAB,Gabon,AF,0.980682965,89.92650604,23.2,45.78453653
GBR,United Kingdom,EU,-4.911138754,100,,92.0003
GEO,Georgia,EU,-12.62497557,99.99448395,2.2,47.56975964
GHA,Ghana,AF,-5.74122377,75.85002136,18.7,31.44785241
GIN,Guinea,AF,-11.60079777,31.61816406,7.9,8.2
GMB,The Gambia,AF,-7.113569991,53.63183212,9.2,16.5
GNB,Guinea-Bissau,AF,1.998634463,20.3005085,,3.540706917
GNQ,Equatorial Guinea,AF,,66.59022522,,21.31999999
GRC,Greece,EU,-0.81770585,100,5.5,66.835
GRD,Grenada,NO,-11.0210608,92.58148193,6.6,53.81
GTM,Guatemala,NO,-0.151174034,90.56504059,2.8,28.80594156
GUY,Guyana,SA,-1.214248462,88.30200958,14.9,34
HKG,"Hong Kong SAR, China",AS,3.317584187,100,,84.94835296
HND,Honduras,NO,-4.695576322,89.98171,8.1,27.61981381
HRV,Croatia,EU,5.031527645,100,3.9,69.8031
HTI,Haiti,NO,-3.103572033,40.91052628,,12.1977
HUN,Hungary,EU,2.727244256,100,1,72.8347
IDN,Indonesia,AS,-2.035041922,97.53736744,26.9,21.97606771
IND,India,AS,-1.067549349,88,22.7,26
IRL,Ireland,EU,10.87962863,100,,83.49479167
IRN,Iran,AS,,99.98225403,,45.33497588
IRQ,Iraq,AS,-1.555964146,99.90605164,37.3,17.22
